cluster_id,member_feedback_ids,unique_source_record_count,unique_domain_count,platform_count,language_count,brand_count,max_severity,time_range_days,is_noise,theme_primary
CL-0001,F0001;F0005;F0009;F0013;F0044;F0048;F0049;F0050;F0052;F0054;F0060;F0063;F0067;F0068;F0072;F0075;F0089;F0090,18,4,3,2,1,S2,245,0,connectivity
CL-0002,F0002;F0006;F0040,3,3,3,2,1,S3,,0,connectivity
CL-0003,F0003,1,1,1,1,1,S2,,1,display_ux
CL-0004,F0004,1,1,1,1,1,S4,,1,firmware
CL-0005,F0007,1,1,1,1,1,S3,,1,connectivity
CL-0006,F0008;F0080,2,2,2,1,1,S3,,0,hardware
CL-0007,F0010;F0073,2,2,2,2,1,S4,,0,firmware
CL-0008,F0011;F0047,2,2,2,2,1,S2,,0,data_accuracy
CL-0009,F0012,1,1,1,1,1,S4,,1,hardware
CL-0010,F0014;F0082,2,2,2,2,1,S3,,0,navigation
CL-0011,F0015,1,1,1,1,1,S4,,1,connectivity
CL-0012,F0016;F0034,2,1,2,1,2,S4,,0,display_ux
CL-0013,F0017;F0018,2,1,1,1,1,S2,,0,navigation
CL-0014,F0019;F0021;F0022;F0037;F0038,5,1,3,1,1,S2,,0,firmware
CL-0015,F0020,1,1,1,1,1,S2,,1,hardware
CL-0016,F0023;F0132,2,2,2,1,1,S2,,0,connectivity
CL-0017,F0024;F0028;F0029,3,3,3,1,1,S2,,0,hardware
CL-0018,F0025,1,1,1,1,1,S3,,1,hardware
CL-0019,F0026,1,1,1,1,1,S2,,1,data_accuracy
CL-0020,F0027,1,1,1,1,1,S2,,1,hardware
CL-0021,F0032,1,1,1,1,1,S3,,1,compatibility
CL-0022,F0033,1,1,1,1,1,S3,,1,hardware
CL-0023,F0035,1,1,1,1,1,S4,,1,feature_request
CL-0024,F0036,1,1,1,1,1,S3,,1,data_accuracy
CL-0025,F0041;F0042;F0051;F0056;F0065;F0070;F0071;F0074;F0078;F0085;F0087;F0209,12,1,1,1,1,S2,253,0,other
CL-0026,F0043;F0055;F0057;F0064;F0076;F0077;F0079;F0083;F0088,9,1,1,1,1,S4,228,0,feature_request
CL-0027,F0045;F0059;F0066;F0081,4,1,1,1,1,S4,190,0,feature_request
CL-0028,F0046,1,1,1,1,1,S4,,1,after_sales
CL-0029,F0053;F0061;F0062;F0069;F0084;F0086,6,1,1,1,1,S3,192,0,compatibility
CL-0030,F0058,1,1,1,1,1,S4,,1,price_value
CL-0031,F0091;F0093;F0096;F0099;F0102;F0104;F0106;F0108;F0114;F0119;F0124;F0126;F0137;F0138;F0139;F0140;F0191;F0195;F0196;F0199;F0200;F0201,22,1,1,1,1,S2,22,0,connectivity
CL-0032,F0092;F0110;F0117,3,1,1,1,1,S3,9,0,firmware
CL-0033,F0094;F0100;F0109;F0113;F0115;F0120;F0122;F0127;F0133;F0134;F0192;F0193;F0197,13,1,1,1,1,S4,21,0,other
CL-0034,F0095;F0101;F0129,3,1,1,1,1,S5,12,0,feature_request
CL-0035,F0097;F0107;F0112;F0118;F0123;F0125;F0203,7,1,1,1,1,S3,11,0,display_ux
CL-0036,F0098;F0136,2,1,1,1,1,S4,14,0,feature_request
CL-0037,F0103,1,1,1,1,1,S4,,1,compatibility
CL-0038,F0105,1,1,1,1,1,S5,,1,hardware
CL-0039,F0111;F0116;F0131,3,1,1,1,1,S4,7,0,price_value
CL-0040,F0121;F0128;F0194,3,1,1,1,1,S2,18,0,data_accuracy
CL-0041,F0130,1,1,1,1,1,S4,,1,display_ux
CL-0042,F0135,1,1,1,1,1,S3,,1,data_accuracy
CL-0043,F0141;F0143;F0158;F0160;F0165;F0173;F0181;F0190;F0206,9,1,1,1,1,S3,55,0,other
CL-0044,F0142,1,1,1,1,1,S5,,1,other
CL-0045,F0144;F0148;F0155;F0157;F0163;F0166;F0168;F0170;F0182;F0184;F0187;F0188;F0189;F0205;F0208,15,1,1,1,1,S2,58,0,navigation
CL-0046,F0145,1,1,1,1,1,S5,,1,feature_request
CL-0047,F0146;F0149;F0150;F0151;F0152;F0154;F0156;F0161;F0162;F0172;F0175;F0177;F0179,13,1,1,1,1,S4,36,0,feature_request
CL-0048,F0147;F0159;F0176,3,1,1,1,1,S5,30,0,price_value
CL-0049,F0153,1,1,1,1,1,S4,,1,display_ux
CL-0050,F0164;F0174,2,1,1,1,1,S2,5,0,after_sales
CL-0051,F0167;F0178;F0186,3,1,1,1,1,S3,14,0,display_ux
CL-0052,F0169,1,1,1,1,1,S4,,1,after_sales
CL-0053,F0171,1,1,1,1,1,S3,,1,data_accuracy
CL-0054,F0180;F0183;F0185,3,1,1,1,1,S2,4,0,connectivity
CL-0055,F0198,1,1,1,1,1,S5,,1,other
CL-0056,F0202,1,1,1,1,1,S4,,1,display_ux
CL-0057,F0204,1,1,1,1,1,S2,,1,firmware
CL-0058,F0207,1,1,1,1,1,S4,,1,feature_request
